Quintana Roo,lim.inf,lim. Sup
Familiares,7.7,8.0
Universidades públicas,6.9,7.2
Compañeros de trabajo,6.2,6.6
Escuelas públicas de nivel básico,6.1,6.4
Vecinos,6.1,6.4
Ejército y Marina,6.0,6.3
Instituciones religiosas,5.8,6.2
Hospitales públicos,5.4,5.7
Comisiones de Derechos Humanos,5.3,5.6
Servidores públicos,4.3,4.6
Medios de comunicación,4.2,4.5
Jueces y Magistrados,4.1,4.4
Empresarios,4.1,4.4
Institutos electorales,3.9,4.2
Sindicatos,3.7,4.1
Ministerio Público,3.7,4.0
Gobiernos estatales,3.7,4.0
Gobiernos Municipales,3.5,3.8
Policías,3.3,3.6
Gobierno Federal,3.1,3.4
Cámaras de Diputados y Senadores,3.0,3.3
Partidos políticos,2.9,3.2