plantel,estudiantes aceptados,municipio
CHETUMAL UNO,315,othon p. blanco
SABAN,80,jose ma. Morelos
TIHOSUCO,130,felipe carrillo puerto
MAYA BALAM,65,bacalar
SE„OR,66,felipe carrillo puerto
CANDELARIA,38,jose ma. Morelos
CIUDAD MUJERES,130,isla mujeres
CACUN CUATRO,298,benito juarez
PUERTO MORELOS,135,puerto morelos
PLAYA DEL CARMEN,478,solidaridad
NICOLAS BRAVO,47,othon p. blanco
CHETUMAL DOS,321,othon p. blanco
CANCUN UNO,729,benito juarez
CANCUN DOS,561,benito juarez
RIO HONDO,128,othon p. blanco
CANCUN TRES,188,benito juarez
BACALAR,102,bacalar
CARLOS A. MADRAZO,86,othon p. blanco
COZUMEL,400,cozumel
IGNACIO SARAGOZA,55,lazaro cardenas
ISLA MUJERES,139,isla mujeres
JOSE MARIA MORELOS,232,jose ma. Morelos
PRESIDENTE JUAREZ ,32,felipe carrillo puerto